"Applicant.ID","Position.Name","Employer.Name","City","State.Name","State.Code","Start.Date","End.Date","Job.Description","Salary","Can.Contact.Employer","Created.At","Updated.At"
10001,"Account Manager / Sales Administration / Quality Assurance","Barcode Resourcing","Bellingham","Washington","WA","2012-10-15","",NA,NA,NA,"2014-12-12 20:10:02 UTC","2014-12-12 20:10:02 UTC"
10001,"Electronics Technician / Item Master Controller","Ryzex Group","Bellingham","Washington","WA","2001-12-01","2012-04-01",NA,NA,NA,"2014-12-12 20:10:02 UTC","2014-12-12 20:10:02 UTC"
10001,"Machine Operator","comptec inc","Custer","Washington","WA","1997-01-01","1999-01-01",NA,NA,NA,"2014-12-12 20:10:02 UTC","2014-12-12 20:10:02 UTC"
10003,"maintenance technician","Winn residental ","washington","District of Columbia","DC",NA,NA,"Necessary maintenance for ""Make Ready"" Plumbing, electrical, HvAc ",10,"false","2014-12-12 21:27:05 UTC","2014-12-12 21:27:05 UTC"
10003,"Electrical Helper ","michael and son services ","alexandria ","Virginia","VA",NA,NA,"repair and services of electrical construction ",NA,"false","2014-12-12 21:27:05 UTC","2014-12-12 21:27:05 UTC"
10003,"technician ","jiffy lube ","district heights ","Maryland","MD",NA,NA,"basic auto maintenance, and customer services reports ",7.25,"false","2014-12-12 21:27:05 UTC","2014-12-12 21:27:05 UTC"
10004,"","Retired","","","","",NA,"",NA,NA,"2014-12-12 22:02:02 UTC","2014-12-12 22:02:02 UTC"
10004,"","Rite Aid","Cleveland","Ohio","OH","",NA,"Shift superisor",NA,NA,"2014-12-12 22:02:02 UTC","2014-12-12 22:02:02 UTC"
10004,"shift superviveur","Rite Aid","Cleveland","Ohio","OH","1985-04-06",NA,"",NA,NA,"2014-12-12 22:02:02 UTC","2014-12-12 22:02:02 UTC"
10005,"All Star Houseman","Hilton Garden Inn Atlanta Midtown","Atlanta","Georgia","GA",NA,"2014-08-01",NA,NA,NA,"2014-12-12 22:08:04 UTC","2014-12-12 22:08:04 UTC"
10007,"Bartender","Infusion Lounge","San Francisco","California","CA","2010-08-01","","Support bar and management staff at a well-known nigh-club with nightly sales of $25,000+
Keep pace in an extremely fast work environment 
Receive consistently positive performance reviews from supervisors",NA,"false","2014-12-12 23:01:04 UTC","2014-12-12 23:03:13 UTC"
10007,"Bar Manager / Head Bartender","Home Restaurant","San Francisco","California","CA","2005-05-01","2012-09-30","•	Collaborate with management team on a regular basis to review day-to-day operations and address new issues
•	Manage all bar inventory and ordering, including working one-on-one with sales reps
•	Control cost through regular review of restaurant financials and supervision of staff
•	Assist in hiring and training all new bartenders and bar backs
•	Develop new menu items, signature cocktails and sales promotions",NA,"false","2014-12-12 23:01:04 UTC","2014-12-12 23:03:13 UTC"
10007,"Bartender","15 Romolo","San Francisco","California","CA","2010-02-01","2011-04-30","•	Serve luxury cocktails and wines in an intimate lounge setting
•	Increased knowledge of mixing classic and contemporary cocktails
•	Train and supervise assistant bartenders",NA,"false","2014-12-12 23:01:04 UTC","2014-12-12 23:03:13 UTC"
10008,"non-food stocker, photo","Kroger","Cincinnati","Ohio","OH","","","stocked non food grocery items, kept aisle neat, did displays, assisted customers, developed photographs,cashier",6.25,"false","2014-12-13 00:30:26 UTC","2014-12-13 00:30:26 UTC"
10008,"Registrar","Mercy Health Physicians","Cincinnati","Ohio","OH","2012-10-01","","incoming call, registration, problem solve, office, clerical work",13.53,"true","2014-12-13 00:30:26 UTC","2014-12-13 00:30:26 UTC"
10008,"Registrar","The Christ Hospital","Cincinnati","Ohio","OH","2006-10-01","2012-08-27","registration, EMR, calls, referral, clerical/office work",12.5,"true","2014-12-13 00:30:26 UTC","2014-12-13 00:30:26 UTC"
10008,"cashier/baker","The Cheesecake Factory","Cincinnati","Ohio","OH","2004-11-01","2006-09-01","cashier, all take out call in orders, prepared desserts/beverages, customer service",10,"true","2014-12-13 00:30:26 UTC","2014-12-13 00:30:26 UTC"
10008,"cashier/asst.manager","Penn station","Cincinnati","Ohio","OH","2000-06-01","2004-10-01","opened/closed store, prepped food, cook, cashier, supervisor",9.5,"true","2014-12-13 00:30:26 UTC","2014-12-13 00:30:26 UTC"
1001,"Sales Associate","Athleta","Santa Monica","California","CA","2013-07-01","2013-01-01","Assist customers on sales floor and in fitting rooms. Provide a model/example for how our companys product looks on different body types. Restock sales floor/back stock. Create lasting impression on customers",8.75,"false","2014-08-15 22:05:47 UTC","2014-08-15 22:05:47 UTC"
10011,"driver helper","united parcel service",NA,NA,NA,"","","",NA,NA,"2014-12-13 00:31:01 UTC","2014-12-13 00:31:01 UTC"
10011,"Cashier","Chicago Zoological Society/Brookfield Zoo",NA,NA,NA,"2009-02-01","2010-12-31","Greet customers in friendly manner, handled cash in cash register, rotated stock, count inventory, answer phones.",NA,NA,"2014-12-13 00:31:01 UTC","2014-12-13 00:31:01 UTC"
10011,"customer assistant","Chicago Transit Authority",NA,NA,NA,"2007-03-01","2008-10-31","Assisted customer with passing for daily usage of city El and bus, agitated customers with directions, assisted customers with disabilities on/off train using a ramp, answered phones, daily entry of activity log sheet.",NA,NA,"2014-12-13 00:31:01 UTC","2014-12-13 00:31:01 UTC"
10016,"Host","Noodles and Company ","San Francisco ","California","CA",NA,NA,"My duties there were to seat guest, serve them food, maintain a clean resturant including bathroom, and bussing tables.",NA,"true","2014-12-13 06:01:21 UTC","2014-12-13 06:01:21 UTC"
10020,"IT Technician II","Rome Research Corporation","San Francisco","California","CA","2011-09-01","2014-01-31","Performed limited Computer administrative duties dealing with password management and control to allow authorized user access to command, control and monitoring computers.

Assisted distant end users all over the world in troubleshooting issues with their satellite equipment, modems and software. 

Experience working with Ku, Ka, C and X frequency bands

Under supervision implements the Teleport Information Assurance Vulnerability Management (IAMV) processes.

Respond to Information Assurance Vulnerability Alerts (IAVA).

Under supervision will implement software and firmware patches, software upgrades, and configuration changes.

Stayed in Compliance with FCC rules and regulations when operating equipment.

Perform all maintenance, repairs and upgrades to computer equipment in a manner, which shall provide minimal impact on the system while providing satisfactory service during the maintenance, repair or upgrade.

Performed equipment modifications with government approval only.

Operates the Linkway Hub Terminal to include associated Limited IP Suite of equipment to include making Master Station Log entries, monitoring distant end users to ensure that equipment is operating at prescribed parameters and as determined by the Gateway Access Authorization (GAA) and Satellite Access Authorization (SAA).
 
Will take directions verbal or written from the TNC/IP Network Operations Center (IPNOC).

Submits all reports to include After Action Reports (AAR’s) associated with IP Ground Mobile Forces / Joint Node Network (JNN) / Limited IP Suite Missions.

Conducts orientation for other site personnel on computer operational systems to include associated IP equipment and Cisco devices.

Respond to commercial, generator, or UPS failure to restore computer systems and site power.

Perform other related duties as assigned when necessary to accomplish work assignments.

Helped the Tech III's to maintain our Solaris/Unix servers",NA,"false","2014-12-13 08:34:32 UTC","2014-12-13 08:36:14 UTC"
10020,"Information Technology Specialist","U.S. Army","Alexandria","Virginia","VA","2004-02-01","2011-09-30","Assisted less experienced technicians in the installation, operation, and maintenance of information processing equipment

Set up equipment for employee use, performing or ensuring proper installation of cables,operating systems, or appropriate software. Upgraded hardware and software when necessary.

Maintained computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.

Diagnosed and repaired both hardware and software issues which interfere with a computer,printer, or other electronic devices ability to function at peak performance. Referred major hardware, software, or defective products to vendors or technicians for service.

Performed a variety of technical inspections on computers, printers, scanners, peripheral devices, and other electronic devices

Examined work orders and converse with equipment operators to detect equipment problems and to ascertain whether mechanical or human errors contributed to the problems

Helped users with all issues concerning mobile devices

Used Active Directory to add/remove users, computers and to reset passwords

Performed data backups and disaster recovery for users 

Oversaw the daily performance of approximately 300 computer systems

Answered user inquiries regarding computer software or hardware operation to resolve problem

Fabricated CAT 5/6 cable for customers

Imaging computers",NA,"false","2014-12-13 08:34:32 UTC","2014-12-13 08:36:14 UTC"
10023,"Engineering Tech","Avent/Kimberly Clark","Tucson","Arizona","AZ","2013-09-01","2014-12-31","•	Writing protocols and reports for new equipment
•	Writing Work Instructions and Job Aids for operation of new equipment
•	Designing, ordering, and assembling new lab workbenches for new process room
•	Value stream mapping for greater production efficiency",14.5,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Clerical/Mail Room/Scanning","MOLLEN HEALTH","Scottsdale","Arizona","AZ","2009-10-01","2013-05-31","Verification of data from patients, including contacting patients for corrected information.  Contacted insurance companies for coverage verification and used search engines to verify correct mailing addresses, enabling company to bill over 200 clients given up for lost.  Reviewed and verified credit card information, expediting cash flow.",11.5,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Residential Designer","COEBILT HOMES","Scottsdale","Arizona","AZ","2003-01-01","2008-05-31","Responsible for design, Construction Documents, and permitting for twenty custom homes 
in Yavapai County.  Acquired subdivision permits from various County and State agencies.   
Instrumental in getting Public Report for 50 home subdivision after two years of denials.
Completely reorganized office filing system.",30,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Project Architect","ORCUTT/WINSLOW","Phoenix","Arizona","AZ","2001-06-01","2002-12-31","Responsible for pre-design through Construction Documents for the Arizona School Facilities 
Board (SFB) Deficiency projects in Mayer, Bagdad and Yuma.  
Instrumental in getting permission from SFB to move elementary school from worn-out temporary structures to new buildings within high school site.",26,"false","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Project Architect","ARCHICON LC","Phoenix","Arizona","AZ","2000-06-01","2001-05-31","Responsible for design and production of Construction Documents, lease exhibits, and space planning.  
Created dramatic interiors for Apache Honda motorcycle showroom in Mesa, coordinated with mechanical engineers to achieve City of Mesa visual compliance and successfully acquired permits compliant with ADA regulations..",25,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Project Manager/Project Architect","RHODES AND ASSOCIATES (dissolved)","Phoenix","Arizona","AZ","1999-10-01","2000-05-31","Responsible for preparation and production of proposals, construction details, and site 
investigation, coordination of information with suppliers, consultants, and clients. 
Played a leading role in recommendations for the City of Phoenix for the renovations of Symphony Hall.",25,"false","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Project manager","LEE HARRIS POMEROY","New York","New York","NY","1998-06-01","1999-10-31","Responsible for design and production of Construction Documents, running job meetings, presentations, coordinating work of various disciplines.  Projects included renovation of Swiss Bank Tower and ADA compliance for holding cells in NYC courthouses.
Managed assembly of existing pearwood and granite from large offices into individual conference rooms and open office areas.",23.5,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10023,"Director of Design/Job Captain/Draftsperson","MASCIONI AND BEHRMANN","New York","New York","NY","1985-01-01","1998-06-30","Worked up through a series of promotions from Draftsperson to Director of Design.  Responsible for scheduling, phasing, design, Construction Documents, presentations, punch lists, and contract review.  Completed degree in Architecture while working full-time.
Designed and managed renovation of executive floor with the restrictions of an asbestos-laden ceiling and phasing work around the CFO on site, developing close relationship with clients.",21,"true","2015-02-12 04:01:23 UTC","2015-02-12 04:06:08 UTC"
10025,NA,"Hall County Board of Education",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 12:48:32 UTC","2014-12-13 12:48:32 UTC"
10027,"Legal Processing Clerk","Weltman, Weinberg & Reis Co., L.P.A.",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 13:22:17 UTC","2014-12-13 13:22:17 UTC"
10027,"","Ohio State School of Cosmetology",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 13:22:17 UTC","2014-12-13 13:22:17 UTC"
10028,"Package Driver","FedEx","Whitehall","Ohio","OH",NA,NA,"Deliver Packages",31,"false","2014-12-13 13:23:30 UTC","2014-12-13 13:26:07 UTC"
1003,"Marketing Representative ","Hengtong Heat-Exchanger Manufactory CO, CLT ","Tianjin City, China",NA,NA,"2010-09-01","2010-12-01","*	Contacted with over 30 potential customers
*	Communicated with potential customer to identify the appropriate Heat-exchanger
",2.5,"false","2014-08-15 22:05:47 UTC","2014-08-15 22:05:47 UTC"
10030,"Customer service ","Walmart ","Landover ","Maryland","MD","2014-09-04","2014-12-04","Putting in data entry for customers. Packaging up there things. ",9.25,"true","2014-12-13 13:54:35 UTC","2014-12-13 13:54:35 UTC"
10030,"Security guard ","Local 16","Ust  nw ","District of Columbia","DC","2014-06-15","2014-08-10","Checking IDs and bags at the front door. Watching people in the lounge making sure everyone is safe. ",16,"true","2014-12-13 13:54:35 UTC","2014-12-13 13:54:35 UTC"
10030,"Security guard ","Ces security ","Sliver spring ","Maryland","MD","2012-03-12","2013-06-15","Securing the people at the dc convention center also the Gaylord hotel and during events. ",7.55,"true","2014-12-13 13:54:35 UTC","2014-12-13 13:54:35 UTC"
1004,"sales Representative / in store model","Abercrombie & Fitch","Metairie","Louisiana","LA","2012-05-01","2012-10-14","I would great every one entering, and leaving the store. Also do cashier, and clean around the store, wile helping customers around.",8,"true","2014-08-15 22:05:48 UTC","2014-08-15 22:05:48 UTC"
10040,NA,"The Massage Advantage",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 16:42:57 UTC","2014-12-13 16:42:57 UTC"
10043,NA,"Orchard Village",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 17:18:48 UTC","2014-12-13 17:18:48 UTC"
10044,NA,"Currently Looking",NA,NA,NA,NA,NA,NA,NA,NA,"2014-12-13 17:42:06 UTC","2014-12-13 17:42:06 UTC"
1005,"none","none","none",NA,NA,NA,NA,"none",NA,"false","2014-08-15 22:05:48 UTC","2014-08-15 22:05:48 UTC"
