"Applicant.ID","Job.ID","Title","Position","Company","City","State.Name","State.Code","Industry","View.Start","View.End","View.Duration","Created.At","Updated.At"
10000,73666,"Cashiers & Valets Needed! @ WallyPark","Cashiers & Valets Needed!","WallyPark","Newark","New Jersey","NJ",NA,"2014-12-12 20:12:35 UTC","2014-12-12 20:31:24 UTC",1129,"2014-12-12 20:12:35 UTC","2014-12-12 20:12:35 UTC"
10000,96655,"Macy's Seasonal Retail Fragrance Cashier  - Garden City, NY - Roosevelt Field @ Macy's","Macy's Seasonal Retail Fragrance Cashier  - Garden City, NY - Roosevelt Field","Macy's","Garden City","New York","NY",NA,"2014-12-12 20:08:50 UTC","2014-12-12 20:10:15 UTC",84,"2014-12-12 20:08:50 UTC","2014-12-12 20:08:50 UTC"
10001,84141,"Part Time Showroom Sales / Cashier @ Grizzly Industrial Inc.","Part Time Showroom Sales / Cashier","Grizzly Industrial Inc.","Bellingham","Washington","WA",NA,"2014-12-12 20:12:32 UTC","2014-12-12 20:17:18 UTC",286,"2014-12-12 20:12:32 UTC","2014-12-12 20:12:32 UTC"
10002,77989,"Event Specialist Part Time @ Advantage Sales & Marketing","Event Specialist Part Time","Advantage Sales & Marketing","Simpsonville","South Carolina","SC",NA,"2014-12-12 20:39:23 UTC","2014-12-12 20:42:13 UTC",170,"2014-12-12 20:39:23 UTC","2014-12-12 20:39:23 UTC"
10002,69568,"Bonefish - Kitchen Staff @ Bonefish Grill","Bonefish - Kitchen Staff","Bonefish Grill","Greenville","South Carolina","SC",NA,"2014-12-12 20:43:25 UTC","2014-12-12 20:43:58 UTC",33,"2014-12-12 20:43:25 UTC","2014-12-12 20:43:25 UTC"
10003,48200,"Entry Level Security Officer @ Securitas Security Services USA, Inc.","Entry Level Security Officer","Securitas Security Services USA, Inc.","Annandale","Virginia","VA","Other","2014-12-12 21:18:01 UTC","2014-12-12 21:18:19 UTC",17,"2014-12-12 21:18:01 UTC","2014-12-12 21:18:01 UTC"
10004,139880,"PT Teller - Chester/East 36th Cleveland @ KeyBank","PT Teller - Chester/East 36th Cleveland","KeyBank","Cleveland","Ohio","OH",NA,"2014-12-12 22:04:19 UTC",NA,NA,"2014-12-12 22:04:19 UTC","2014-12-12 22:04:19 UTC"
10006,132042,"Housekeeper / Caregiver - Senior Living - San Diego @ Belmont Village at Sabre Springs","Housekeeper / Caregiver - Senior Living - San Diego","Belmont Village at Sabre Springs","San Diego","California","CA",NA,"2014-12-12 22:54:14 UTC","2014-12-13 01:04:58 UTC",7843,"2014-12-12 22:54:14 UTC","2014-12-12 22:54:14 UTC"
10006,118687,"Front Desk Coordinator for Immediate Opportunity! @ OfficeTeam","Front Desk Coordinator for Immediate Opportunity!","OfficeTeam","El Cajon","California","CA",NA,"2014-12-13 01:20:24 UTC","2014-12-13 01:22:54 UTC",150,"2014-12-13 01:20:24 UTC","2014-12-13 01:20:24 UTC"
10006,82500,"Macy's Seasonal Retail Selling Floor Recovery, Evenings Until Close - El Cajon, CA -  Parkway @ Macy's","Macy's Seasonal Retail Selling Floor Recovery, Evenings Until Close - El Cajon, CA -  Parkway","Macy's","El Cajon","California","CA",NA,"2014-12-13 01:24:12 UTC","2014-12-13 18:03:29 UTC",59956,"2014-12-13 01:24:12 UTC","2014-12-13 01:24:12 UTC"
